Rank,Tool_Name,Primary_Category,Sub_Category,Pricing_Model,Starting_Price_USD,Monthly_Traffic_Est,User_Rating,Agentic_Capability_Score,API_Available,Release_Year,Active_Users_Est,Starting_Price_CAD
243,Nexus Spark,Education,Quiz Generator,Freemium,17.44,1271187,4.14,6.0,Yes,2024,61237,23.89
244,Rhino Plus,Audio & Voice,Voice Cloning,Freemium,24.33,1260272,4.23,5.46,No,2023,222708,33.33
245,Drift Suite,Marketing,Ad Copy AI,Freemium,96.83,1256122,4.07,6.95,Yes,2023,171253,132.66
246,Lyric Mind,Video Generation,Background Removal,Paid,14.82,1245163,4.15,4.42,Yes,2021,246361,20.3
247,Orbit Intelligence,Education,Homework Helper,Paid,19.21,1220202,3.96,6.88,Yes,2023,229865,26.32
248,Lyric Pilot,Marketing,AI Analytics,Paid,122.02,1216446,4.24,7.13,Yes,2022,33568,167.17
249,Nexus GPT,Developer Tools,Prompt Engineering,Freemium,18.53,1156321,4.25,8.24,Yes,2025,192827,25.39
250,Iris Core,E-commerce AI,Product Description,Freemium,39.08,1151364,4.14,5.74,Yes,2025,176296,53.54
251,Onyx Spark,Education,Homework Helper,Paid,13.0,1145263,4.08,6.89,No,2024,361325,17.81
252,Nexus Hub,Marketing,AI Analytics,Freemium,181.88,1133465,4.5,7.62,Yes,2022,97535,249.18
253,Lunar Bot,Writing & Content,Scriptwriting,Paid,13.45,1116640,4.04,5.15,Yes,2025,176135,18.43
254,Nodus Studio,Coding Assistant,Documentation AI,Paid,18.2,1091614,4.05,6.66,Yes,2024,28449,24.93
255,Storm AI,Education,Quiz Generator,Freemium,17.98,1062639,4.0,6.06,Yes,2024,24493,24.63
256,Onyx Suite,E-commerce AI,Product Description,Freemium,45.08,1056368,4.13,6.34,Yes,2023,127910,61.76
257,Drift Pro,E-commerce AI,Product Description,Freemium,38.88,1051501,4.18,5.49,Yes,2023,199317,53.27
258,Ember Core,Customer Support,FAQ Bot,Paid,53.46,1043636,4.03,7.07,Yes,2022,41914,73.24
259,Titan Genius,Agentic AI,AI Agent Frameworks,Free,0.0,1040608,4.3,9.18,No,2024,42512,0.0
260,Quill Vision,Audio & Voice,Voice Cloning,Freemium,19.28,1036712,4.07,5.42,Yes,2022,290263,26.41
261,Yield Suite,Audio & Voice,Sound Effects,Paid,10.91,1028927,4.39,3.11,Yes,2023,55975,14.95
262,Sigma Intelligence,Audio & Voice,Dubbing & Translation,Paid,15.81,1024688,4.25,5.93,Yes,2024,32755,21.66
263,Xenon Core,Writing & Content,Email Writing,Freemium,23.71,1010941,4.07,5.6,Yes,2021,93832,32.48
264,Sigma Pro,Customer Support,FAQ Bot,Paid,90.68,1010852,4.14,6.37,Yes,2022,156125,124.23
265,Rhino Intelligence,Image Generation,Illustration,Paid,14.21,1005199,4.04,5.27,Yes,2022,213173,19.47
266,Explainpaper,Research & Search,Paper Reader,Freemium,12.0,1000000,4.2,5.0,No,2022,100000,16.44
267,Flowise,Developer Tools,Agent Builder,Free,0.0,1000000,4.4,9.0,Yes,2023,30000,0.0
268,Devin,Coding Assistant,Autonomous Coder,Paid,500.0,1000000,4.0,9.8,Yes,2024,10000,685.0
269,Clearscope,Marketing,SEO Optimization,Paid,189.0,1000000,4.4,5.5,Yes,2019,20000,258.93
270,MarketMuse,Marketing,Content Strategy,Paid,149.0,1000000,4.2,6.0,Yes,2015,10000,204.13
271,Steve AI,Video Generation,Animation,Paid,20.0,1000000,4.1,4.5,Yes,2020,100000,27.4
272,Elai,Video Generation,AI Avatars,Freemium,29.0,1000000,4.1,5.5,Yes,2021,50000,39.73
273,Wisecut,Video Generation,Auto Editing,Freemium,10.0,1000000,4.1,5.5,No,2020,100000,13.7
274,Cleanvoice,Audio & Voice,Audio Cleanup,Freemium,11.0,1000000,4.2,3.5,Yes,2021,100000,15.07
275,SpeechBrain,Developer Tools,Speech AI,Free,0.0,1000000,4.4,5.0,Yes,2021,50000,0.0
276,Labelbox,Developer Tools,Data Labeling,Freemium,0.0,1000000,4.2,4.5,Yes,2018,5000,0.0
277,Together AI,Developer Tools,Open LLM Hosting,Pay-per-use,0.0,1000000,4.4,8.0,Yes,2022,20000,0.0
278,Fireworks AI,Developer Tools,Model Hosting,Pay-per-use,0.0,1000000,4.3,7.5,Yes,2022,20000,0.0
279,Weaviate,Developer Tools,Vector Database,Free,0.0,1000000,4.4,7.0,Yes,2019,10000,0.0
280,Voiceflow,Developer Tools,Chatbot Builder,Freemium,50.0,1000000,4.4,8.5,Yes,2019,50000,68.5
281,Botpress,Developer Tools,Chatbot Builder,Freemium,495.0,1000000,4.3,8.0,Yes,2017,20000,678.15
282,Pulse Intelligence,Agentic AI,Multi-Agent Systems,Freemium,98.95,994787,4.24,9.24,Yes,2025,24390,135.56
283,Haven Vision,Research & Search,Market Research,Paid,211.81,993140,4.13,7.35,Yes,2022,46077,290.18
284,Haven Suite,Image Generation,Illustration,Paid,24.25,991571,4.47,5.84,Yes,2022,147608,33.22
285,Blaze Sage,Finance AI,Tax Automation,Paid,125.77,990704,4.16,7.79,Yes,2025,28343,172.3
286,Quill AI,Legal AI,Document Drafting,Freemium,148.83,988456,4.2,7.37,Yes,2024,9816,203.9
287,Boreal Suite,Customer Support,Sentiment Analysis,Paid,90.37,986486,4.07,6.32,Yes,2021,22793,123.81
288,Aether Hub,Finance AI,Financial Analysis,Paid,71.94,985506,4.14,7.87,Yes,2020,30936,98.56
289,Atlas GPT,Legal AI,Contract Analysis,Freemium,294.41,985364,4.16,6.83,Yes,2024,49459,403.34
290,Warp Plus,Research & Search,Market Research,Paid,105.95,982277,4.37,6.92,No,2021,37661,145.15
291,Jinx Sage,Healthcare AI,Medical Imaging,Paid,0.0,981639,4.29,6.05,Yes,2024,8779,0.0
292,Cipher Sage,Writing & Content,Academic Writing,Paid,25.63,979036,4.05,5.47,No,2024,105984,35.11
293,Jinx Plus,Healthcare AI,Medical Imaging,Paid,0.0,978146,4.44,5.25,Yes,2022,9260,0.0
294,Zenith Bot,E-commerce AI,Personalization Engine,Paid,159.99,963994,4.26,7.97,Yes,2021,8683,219.19
295,Vapor Plus,Marketing,AI Analytics,Freemium,163.63,953987,4.38,7.62,Yes,2020,24335,224.17
296,Karma Lab,Finance AI,Financial Analysis,Paid,192.95,946432,4.27,8.12,Yes,2024,45211,264.34
297,Hydra Lab,Video Generation,AI Thumbnail,Paid,12.0,938824,4.17,4.63,Yes,2025,145444,16.44
298,Pylon Plus,Healthcare AI,Medical Imaging,Paid,0.0,935922,4.36,6.26,Yes,2025,1319,0.0
299,Storm Mind,Finance AI,Financial Analysis,Paid,190.78,934541,4.4,7.58,Yes,2024,23918,261.37
300,Quill Intelligence,E-commerce AI,Product Description,Freemium,19.73,924703,4.4,5.6,Yes,2023,139756,27.03
301,Mural Genius,Research & Search,Market Research,Paid,207.9,921609,4.4,6.98,Yes,2023,33301,284.82
302,Lunar Plus,Audio & Voice,Voice Cloning,Freemium,22.43,921594,4.34,5.17,Yes,2021,85383,30.73
303,Zenith Suite,Finance AI,Financial Analysis,Paid,290.8,920934,4.49,8.16,Yes,2020,43241,398.4
304,Xenon Mind,Research & Search,Competitive Intel,Paid,245.52,917629,4.14,7.23,Yes,2023,33116,336.36
305,Zenith Forge,Agentic AI,Multi-Agent Systems,Freemium,90.77,916356,4.14,9.81,Yes,2024,43272,124.35
306,Arcane Sage,Research & Search,Competitive Intel,Paid,193.79,910065,4.37,6.64,Yes,2021,48267,265.49
307,Arcane Hub,Research & Search,Market Research,Paid,147.39,909859,4.27,7.38,No,2020,36638,201.92
308,Unity Genius,Video Generation,Background Removal,Paid,10.12,900840,4.28,3.8,No,2021,78107,13.86
309,Vivid Forge,Marketing,Ad Copy AI,Freemium,91.76,896582,4.04,5.33,Yes,2025,181315,125.71
310,Echo Suite,Customer Support,FAQ Bot,Paid,70.95,894724,4.23,7.72,No,2024,31154,97.2
311,Iris Genius,Research & Search,Market Research,Paid,191.38,894068,4.08,7.22,Yes,2023,33029,262.19
312,Hydra GPT,Marketing,AI Analytics,Freemium,183.73,885179,4.4,6.35,No,2024,57953,251.71
313,Cipher AI,Coding Assistant,Debugging AI,Freemium,21.57,879918,4.25,7.4,Yes,2021,86185,29.55
314,Optic Pilot,Healthcare AI,Medical Imaging,Paid,0.0,878086,4.12,5.04,Yes,2025,6129,0.0
315,Glyph Forge,E-commerce AI,Product Description,Paid,73.61,870952,4.11,5.16,Yes,2025,196508,100.85
316,Quartz Genius,Education,Quiz Generator,Freemium,13.57,870079,4.07,6.77,No,2024,137081,18.59
317,Neon Plus,Coding Assistant,Documentation AI,Freemium,11.88,864855,4.32,5.9,Yes,2024,53642,16.28
318,Haven Engine,HR & Recruiting,Resume Screening,Paid,218.29,855944,4.27,7.61,Yes,2022,17600,299.06
319,Glyph Intelligence,Finance AI,Financial Analysis,Paid,161.03,852524,4.27,8.38,Yes,2020,28105,220.61
320,Yield Sage,Image Generation,Product Photo,Freemium,33.05,848230,4.19,4.52,Yes,2025,201049,45.28
321,Echo Forge,Video Generation,AI Thumbnail,Paid,13.35,844004,4.11,4.77,No,2024,141572,18.29
322,Aether Flow,Agentic AI,AI Agent Frameworks,Freemium,4.28,838914,3.9,9.4,Yes,2024,53193,5.86
323,Helix Engine,Writing & Content,Scriptwriting,Paid,15.38,835069,4.27,5.19,Yes,2025,172212,21.07
324,Arcane Bot,Agentic AI,AI Agent Frameworks,Freemium,36.38,833738,4.29,9.12,No,2023,49893,49.84
325,Prism Lab,Automation,RPA + AI,Paid,221.48,833723,4.2,8.54,Yes,2023,20543,303.43
326,Glyph AI,Coding Assistant,Test Generation,Freemium,21.63,831663,4.37,8.05,Yes,2025,265025,29.63
327,Arcane Spark,Legal AI,Contract Analysis,Freemium,87.63,830302,4.37,6.17,Yes,2024,32131,120.05
328,Delta GPT,Image Generation,Product Photo,Paid,48.94,829515,4.3,5.18,Yes,2025,82277,67.05
329,Prism Genius,Finance AI,Financial Analysis,Paid,87.71,824042,4.18,8.0,Yes,2023,9081,120.16
330,Warp Vision,Cybersecurity AI,Code Security,Paid,40.38,824016,4.11,7.69,Yes,2022,77862,55.32
331,Pulse Lab,Finance AI,Financial Analysis,Paid,89.25,819380,4.22,8.41,Yes,2021,26482,122.27
332,Synth Pilot,Writing & Content,Academic Writing,Freemium,18.12,817714,4.41,6.25,Yes,2020,26746,24.82
333,Maven Vision,Research & Search,Competitive Intel,Paid,214.47,813824,4.16,6.05,Yes,2022,22001,293.82
334,Raven Mind,Automation,RPA + AI,Paid,86.8,813793,4.12,9.15,Yes,2021,12482,118.92
335,Vortex AI,Education,Homework Helper,Freemium,11.23,813427,4.09,6.28,No,2025,75473,15.39
336,Iota Studio,Image Generation,Product Photo,Paid,28.28,812374,4.48,5.65,No,2023,41197,38.74
337,Rhino Studio,Automation,Document Automation,Paid,48.46,809641,4.13,7.48,No,2020,11267,66.39
338,Warp Spark,Research & Search,Market Research,Paid,80.35,809489,4.22,7.79,Yes,2022,14599,110.08
339,Vivid Flow,Developer Tools,AI Testing,Freemium,41.21,806396,4.24,6.08,No,2023,72835,56.46
340,Ultra Studio,Healthcare AI,Medical Imaging,Paid,0.0,800674,4.12,5.01,No,2024,4791,0.0
341,Maven Mind,Developer Tools,Model Fine-tuning,Pay-per-use,0.0,793169,4.55,7.26,Yes,2023,43591,0.0
342,Facet Intelligence,Automation,RPA + AI,Paid,293.51,790203,4.2,8.02,Yes,2025,16428,402.11
343,Ember Engine,Finance AI,Financial Analysis,Paid,201.64,789786,4.43,7.53,No,2025,25249,276.25
344,Delta Lab,Audio & Voice,Voice Cloning,Freemium,11.45,785657,4.25,4.76,Yes,2024,110282,15.69
345,Flux Plus,Audio & Voice,Sound Effects,Freemium,23.25,766183,4.25,4.4,Yes,2022,154108,31.85
346,Sigma Suite,Automation,RPA + AI,Paid,57.19,760626,4.3,8.48,No,2024,11792,78.35
347,Jinx Engine,Finance AI,Tax Automation,Paid,169.48,753516,4.27,6.24,Yes,2023,58915,232.19
348,Nimbus Sage,Legal AI,Contract Analysis,Paid,71.34,748665,4.22,6.49,No,2022,15107,97.74
349,Iota Flow,Developer Tools,AI Testing,Freemium,92.67,746002,4.27,7.72,No,2022,28351,126.96
350,Hydra Vision,Image Generation,Product Photo,Freemium,28.48,745702,4.3,5.22,Yes,2023,217654,39.02
351,Ultra Core,E-commerce AI,Product Description,Paid,68.15,738905,4.37,6.89,Yes,2023,108792,93.37
352,Iota GPT,Audio & Voice,Sound Effects,Freemium,12.06,736804,4.08,4.2,Yes,2022,66437,16.52
353,Mural Hub,Marketing,Ad Copy AI,Freemium,27.48,727430,4.4,5.28,No,2022,98532,37.65
354,Maven Studio,Developer Tools,AI Testing,Paid,62.05,725850,4.22,6.65,Yes,2024,85069,85.01
355,Onyx Engine,Audio & Voice,Dubbing & Translation,Paid,43.82,719070,4.23,4.31,No,2022,28445,60.03
356,Glyph Vision,Finance AI,Financial Analysis,Paid,202.22,715519,4.15,7.7,Yes,2021,49144,277.04
357,Haven Forge,Developer Tools,Prompt Engineering,Paid,32.22,715333,4.3,8.31,Yes,2024,148089,44.14
358,Quill Suite,Developer Tools,Model Fine-tuning,Pay-per-use,0.0,710224,4.2,8.55,Yes,2025,46604,0.0
359,Titan Pro,Audio & Voice,Sound Effects,Freemium,23.62,707380,4.15,4.19,No,2025,173847,32.36
360,Storm Lab,Agentic AI,AI Agent Frameworks,Free,0.0,692411,4.43,9.14,Yes,2025,80804,0.0
361,Quartz Mind,Finance AI,Tax Automation,Paid,172.39,690996,4.02,7.73,No,2025,85598,236.17
362,Raven GPT,Research & Search,Competitive Intel,Paid,230.57,686187,4.41,6.37,Yes,2022,47889,315.88
363,Terra Core,Coding Assistant,Test Generation,Freemium,35.78,684674,4.47,7.44,Yes,2024,43982,49.02
364,Pylon Bot,Developer Tools,AI Testing,Freemium,54.05,684041,4.22,6.82,No,2024,82642,74.05
365,Haven Pilot,Developer Tools,Model Fine-tuning,Pay-per-use,0.0,674295,4.41,8.4,No,2023,37271,0.0
366,Quartz AI,HR & Recruiting,Interview AI,Paid,53.56,667851,4.14,8.68,Yes,2022,5095,73.38
367,Iris Studio,Customer Support,Sentiment Analysis,Paid,82.24,665979,4.09,6.73,No,2023,47914,112.67
368,Prism Hub,Customer Support,Sentiment Analysis,Paid,78.37,661957,4.14,6.54,Yes,2022,44735,107.37
369,Neon Pilot,Writing & Content,Email Writing,Paid,29.49,656106,4.29,6.01,Yes,2024,69616,40.4
370,Jinx Pro,Automation,Document Automation,Paid,28.21,655550,4.39,6.84,Yes,2021,46677,38.65
371,Apex Pro,Developer Tools,Prompt Engineering,Paid,16.74,650292,4.46,7.55,Yes,2023,29083,22.93
372,Vivid GPT,E-commerce AI,Personalization Engine,Paid,131.7,645617,4.28,8.36,Yes,2022,10959,180.43
373,Cipher Lab,Healthcare AI,Medical Imaging,Paid,0.0,633541,4.1,6.72,No,2019,8729,0.0
374,Glyph Hub,Video Generation,AI Thumbnail,Paid,13.5,625119,3.97,4.54,Yes,2022,63089,18.5
375,Iota Intelligence,Research & Search,Market Research,Paid,139.55,621433,4.19,7.61,Yes,2022,18312,191.18
376,Vortex Mind,Finance AI,Tax Automation,Paid,195.12,596574,4.34,6.62,Yes,2023,96643,267.31
377,Warp Mind,Audio & Voice,Dubbing & Translation,Paid,25.11,592374,4.16,4.9,No,2024,22512,34.4
378,Pulse Pilot,Legal AI,Document Drafting,Paid,59.99,589368,4.15,7.04,Yes,2025,11705,82.19
379,Maven Plus,Video Generation,Background Removal,Freemium,14.81,582238,4.05,3.07,Yes,2021,158311,20.29
380,Terra Spark,Developer Tools,Model Fine-tuning,Pay-per-use,0.0,578938,4.6,7.59,Yes,2022,16449,0.0
381,Nimbus Lab,HR & Recruiting,Interview AI,Paid,109.64,578715,4.11,7.77,Yes,2023,47522,150.21
382,Nexus Studio,Healthcare AI,Medical Imaging,Paid,0.0,578073,4.46,6.19,Yes,2024,3192,0.0
383,Vapor Suite,Education,Quiz Generator,Freemium,14.31,577448,4.31,6.53,Yes,2025,118162,19.6
384,Prism Forge,E-commerce AI,Personalization Engine,Paid,134.39,575528,4.26,8.46,Yes,2021,48588,184.11
385,Echo Hub,Healthcare AI,Medical Imaging,Paid,0.0,569865,4.14,6.0,Yes,2022,1291,0.0
386,Hydra Plus,Customer Support,FAQ Bot,Paid,71.29,565329,4.28,7.12,Yes,2024,113539,97.67
387,Ultra Forge,Coding Assistant,Test Generation,Paid,22.51,555674,4.28,8.18,Yes,2023,253976,30.84
388,Axiom Pro,Coding Assistant,Test Generation,Paid,26.34,551293,4.08,7.83,Yes,2024,105323,36.09
389,Jinx Lab,Developer Tools,AI Testing,Paid,47.77,550246,4.13,6.28,Yes,2022,42527,65.44
390,Nodus GPT,Finance AI,Tax Automation,Paid,139.18,543973,4.2,6.04,Yes,2021,54791,190.68
391,Karma Plus,HR & Recruiting,Resume Screening,Freemium,110.81,532067,4.23,7.59,No,2019,44943,151.81
392,Ultra Hub,E-commerce AI,Personalization Engine,Paid,229.89,529893,4.45,8.94,No,2025,22368,314.95
393,Delta Pilot,Research & Search,Market Research,Paid,248.12,517035,4.09,6.86,Yes,2022,26159,339.92
394,Pulse Engine,HR & Recruiting,Interview AI,Paid,63.46,513741,4.01,8.07,Yes,2025,49062,86.94
395,Glyph Lab,Education,Homework Helper,Paid,18.65,509655,4.23,6.09,No,2022,321811,25.55
396,Facet GPT,Agentic AI,AI Agent Frameworks,Free,0.0,506694,4.33,9.83,Yes,2025,61472,0.0
397,Orbit Pro,Writing & Content,Social Media Writing,Paid,10.68,501423,4.41,6.58,Yes,2023,316515,14.63
398,Synthex,Research & Search,Literature Review,Paid,29.0,500000,4.0,6.0,Yes,2022,10000,39.73
399,SWE-agent,Coding Assistant,Autonomous Coder,Free,0.0,500000,3.9,9.5,Yes,2024,5000,0.0
400,Anyscale,Developer Tools,ML Infrastructure,Paid,0.0,500000,4.3,7.5,Yes,2019,5000,0.0
401,Modal,Developer Tools,Cloud Compute,Pay-per-use,0.0,500000,4.5,7.0,Yes,2021,10000,0.0
402,Chroma,Developer Tools,Vector Database,Free,0.0,500000,4.3,7.0,Yes,2022,10000,0.0
403,Qdrant,Developer Tools,Vector Database,Freemium,0.0,500000,4.4,7.0,Yes,2021,5000,0.0
404,Cipher Bot,HR & Recruiting,Interview AI,Paid,77.55,499974,4.15,7.89,Yes,2023,22262,106.24
405,Echo Pro,Cybersecurity AI,Threat Detection,Paid,0.0,499117,4.34,7.92,Yes,2025,9561,0.0
406,Raven Intelligence,Cybersecurity AI,Threat Detection,Paid,0.0,497710,4.56,8.0,Yes,2025,3415,0.0
407,Nexus Intelligence,Legal AI,Legal Research,Paid,154.12,496323,4.41,7.14,No,2025,8577,211.14
408,Terra Pro,HR & Recruiting,Interview AI,Paid,179.57,495833,4.15,8.37,Yes,2024,13715,246.01
409,Maven Lab,Writing & Content,Academic Writing,Paid,28.29,495188,4.38,5.45,Yes,2025,124179,38.76
410,Zenith GPT,Agentic AI,Multi-Agent Systems,Paid,94.96,490084,4.22,9.08,No,2024,31085,130.1
411,Nodus AI,Cybersecurity AI,Threat Detection,Paid,0.0,489078,4.49,9.0,Yes,2020,8316,0.0
412,Zenith AI,Finance AI,Algorithmic Trading,Paid,200.7,472096,4.47,9.43,Yes,2021,7943,274.96
413,Jinx Forge,Healthcare AI,Drug Discovery,Paid,0.0,469008,4.64,7.59,Yes,2019,351,0.0
414,Sigma Plus,Legal AI,Document Drafting,Paid,134.93,468292,4.27,6.2,Yes,2025,47661,184.85
415,Aether Plus,Finance AI,Algorithmic Trading,Paid,355.15,464962,4.47,8.15,Yes,2021,9406,486.56
416,Xenon Lab,Agentic AI,Multi-Agent Systems,Paid,88.53,460572,4.44,9.26,Yes,2025,44908,121.29
417,Neon Vision,HR & Recruiting,Resume Screening,Freemium,118.13,459513,4.39,6.91,No,2022,44487,161.84
418,Synth GPT,Automation,RPA + AI,Paid,297.09,459315,4.2,9.14,Yes,2023,28772,407.01
419,Boreal Mind,Finance AI,Algorithmic Trading,Paid,125.18,456947,4.47,8.07,Yes,2025,4268,171.5
420,Cosmo Pilot,Writing & Content,Scriptwriting,Freemium,13.68,447935,4.18,5.32,Yes,2023,50779,18.74
421,Boreal Forge,HR & Recruiting,Interview AI,Paid,64.93,446337,4.29,7.2,Yes,2020,41067,88.95
422,Drift Core,Legal AI,Legal Research,Paid,154.1,443265,4.51,7.84,Yes,2025,6157,211.12
423,Iota Mind,Finance AI,Tax Automation,Paid,69.98,433451,4.32,7.4,Yes,2020,56095,95.87
424,Atlas Mind,HR & Recruiting,Employee Onboarding,Paid,92.93,431607,4.39,7.67,Yes,2023,17171,127.31
425,Axiom Spark,Customer Support,Sentiment Analysis,Paid,56.76,412071,4.31,6.41,Yes,2022,51555,77.76
426,Helix Plus,Cybersecurity AI,Code Security,Paid,35.76,411847,4.2,6.1,Yes,2024,30131,48.99
427,Titan Plus,Research & Search,Academic Summary,Freemium,11.14,401984,4.26,5.48,Yes,2023,112914,15.26
428,Jinx Suite,E-commerce AI,Personalization Engine,Paid,109.98,391668,4.12,7.45,Yes,2022,20400,150.67
429,Prism Spark,E-commerce AI,Product Description,Paid,70.18,382416,4.18,6.99,Yes,2022,75018,96.15
430,Maven Engine,Audio & Voice,Sound Effects,Freemium,22.24,380806,4.03,3.8,Yes,2025,157807,30.47
431,Haven Plus,Agentic AI,Multi-Agent Systems,Freemium,20.83,371306,4.11,9.75,Yes,2025,42698,28.54
432,Ember Studio,Coding Assistant,Documentation AI,Paid,24.33,365736,4.17,5.88,Yes,2025,76095,33.33
433,Nova Core,Cybersecurity AI,Threat Detection,Paid,0.0,361307,4.5,7.6,No,2019,6509,0.0
434,Karma Bot,Developer Tools,Prompt Engineering,Paid,45.78,357259,4.11,7.13,Yes,2025,53761,62.72
435,Karma Genius,Legal AI,Legal Research,Paid,490.98,356028,4.32,7.8,Yes,2024,2873,672.64
436,Arcane Flow,Education,Quiz Generator,Paid,14.07,355919,4.27,5.56,Yes,2022,67016,19.28
437,Unity Forge,Customer Support,Sentiment Analysis,Freemium,77.2,350956,4.22,6.55,Yes,2023,95029,105.76
438,Arcane Lab,Automation,RPA + AI,Paid,247.22,348235,4.4,8.05,Yes,2022,71263,338.69
439,Facet Pilot,Research & Search,Competitive Intel,Paid,160.4,347582,4.44,6.2,Yes,2024,47259,219.75
440,Neon Studio,Developer Tools,AI Testing,Paid,59.66,347231,4.15,6.16,Yes,2024,22987,81.73
441,Gaia Suite,Developer Tools,AI Testing,Freemium,68.78,346174,4.25,7.84,Yes,2022,66881,94.23
442,Iris Suite,Healthcare AI,Medical Imaging,Paid,0.0,341296,4.4,5.7,Yes,2023,5106,0.0
443,Xenon Forge,Cybersecurity AI,Threat Detection,Paid,0.0,340094,4.67,8.16,Yes,2020,4214,0.0
444,Raven Pilot,Healthcare AI,Clinical Notes,Paid,384.56,320485,4.63,6.57,Yes,2022,4180,526.85
445,Blaze Pro,Finance AI,Algorithmic Trading,Paid,336.9,315979,4.41,9.06,Yes,2021,8780,461.55
446,Aether Vision,Healthcare AI,Clinical Notes,Paid,358.91,311562,4.41,7.1,No,2022,3637,491.71
447,Lunar Genius,Cybersecurity AI,Code Security,Paid,39.44,308727,4.34,6.8,No,2021,27961,54.03
448,Axiom Hub,Healthcare AI,Clinical Notes,Paid,336.68,308663,4.7,7.55,Yes,2024,2508,461.25
449,Rhino Sage,Automation,Document Automation,Freemium,57.31,303993,4.2,7.73,Yes,2022,64146,78.51
450,Banana,Developer Tools,ML Deployment,Pay-per-use,0.0,300000,4.1,6.5,Yes,2020,5000,0.0
451,Vapor Mind,Healthcare AI,Clinical Notes,Paid,361.16,299403,4.44,6.4,Yes,2022,2838,494.79
452,Cipher Pilot,Healthcare AI,Drug Discovery,Paid,0.0,298652,4.33,8.66,No,2019,1724,0.0
453,Rhino Genius,Cybersecurity AI,Threat Detection,Paid,0.0,295849,4.42,7.61,Yes,2019,6766,0.0
454,Titan Mind,Finance AI,Algorithmic Trading,Paid,198.85,279511,4.5,9.05,Yes,2021,7108,272.42
455,Pulse GPT,HR & Recruiting,Employee Onboarding,Paid,69.11,279488,4.38,6.54,Yes,2023,13230,94.68
456,Titan Bot,Audio & Voice,Sound Effects,Paid,19.23,278868,4.02,4.66,No,2022,181220,26.35
457,Atlas Hub,Automation,Document Automation,Freemium,94.98,275284,4.39,7.62,No,2023,20271,130.12
458,Unity Plus,Audio & Voice,Dubbing & Translation,Paid,28.59,274069,4.29,5.99,Yes,2024,78291,39.17
459,Lyric Plus,Healthcare AI,Clinical Notes,Paid,329.92,271794,4.29,7.27,Yes,2025,1919,451.99
460,Xenon Pro,HR & Recruiting,Employee Onboarding,Paid,131.87,265364,4.02,7.49,Yes,2024,14651,180.66
461,Flux Bot,Automation,RPA + AI,Paid,292.6,262924,4.27,8.78,Yes,2025,99267,400.86
462,Facet Suite,Finance AI,Algorithmic Trading,Paid,364.37,259952,4.41,9.1,Yes,2021,5135,499.19
463,Gaia Genius,Automation,Document Automation,Paid,61.03,256175,4.24,7.03,Yes,2024,51750,83.61
464,Prism Vision,E-commerce AI,Product Description,Freemium,72.97,239854,4.1,6.67,Yes,2025,158352,99.97
465,Ultra AI,Developer Tools,AI Testing,Paid,93.78,238394,4.15,7.68,Yes,2023,71736,128.48
466,Optic Intelligence,Legal AI,Contract Analysis,Paid,186.28,236937,4.33,6.97,Yes,2025,8172,255.2
467,Sigma Engine,Finance AI,Tax Automation,Paid,159.76,235300,4.17,7.82,No,2020,77908,218.87
468,Facet Sage,Agentic AI,Multi-Agent Systems,Freemium,77.71,234618,4.05,9.66,Yes,2024,38037,106.46
469,Iota Core,Automation,Document Automation,Paid,33.19,233096,4.3,7.75,Yes,2020,13847,45.47
470,Onyx Lab,Developer Tools,AI Testing,Paid,38.77,227767,4.02,6.84,Yes,2025,18232,53.11
471,Echo Vision,E-commerce AI,Product Description,Paid,70.28,225880,4.12,5.78,No,2025,83633,96.28
472,Blaze Hub,HR & Recruiting,Resume Screening,Paid,186.88,218710,4.23,6.54,Yes,2021,40523,256.03
473,Storm Vision,Coding Assistant,Documentation AI,Paid,14.29,217149,4.42,5.86,Yes,2024,125710,19.58
474,Pulse Sage,Finance AI,Algorithmic Trading,Paid,172.65,216837,4.46,9.94,Yes,2023,2705,236.53
475,Orbit Lab,Legal AI,Legal Research,Paid,166.38,207006,4.56,6.09,Yes,2021,13746,227.94
476,Atlas Spark,Automation,Document Automation,Paid,39.59,201514,4.02,7.89,Yes,2023,42541,54.24
477,Optic Genius,Finance AI,Algorithmic Trading,Paid,154.9,200407,4.46,8.94,Yes,2025,8685,212.21
478,Nodus Bot,Developer Tools,Model Fine-tuning,Pay-per-use,0.0,198042,4.36,7.75,Yes,2022,16231,0.0
479,Facet Forge,Legal AI,Legal Research,Paid,397.55,190815,4.56,6.04,Yes,2021,12189,544.64
480,Koral Intelligence,Developer Tools,Model Fine-tuning,Pay-per-use,0.0,190581,4.42,7.02,Yes,2024,45810,0.0
481,Prism Core,Developer Tools,Model Fine-tuning,Pay-per-use,0.0,181896,4.57,7.22,Yes,2023,42532,0.0
482,Xenon Spark,HR & Recruiting,Resume Screening,Paid,143.42,179184,4.25,7.76,No,2023,23233,196.49
483,Haven Mind,Legal AI,Document Drafting,Paid,49.15,178645,4.27,7.8,No,2025,45215,67.34
484,Cosmo Studio,Legal AI,Legal Research,Paid,360.27,171750,4.41,7.45,Yes,2020,15693,493.57
485,Apex GPT,Legal AI,Document Drafting,Paid,34.14,170499,4.12,7.29,Yes,2025,7122,46.77
486,Terra Bot,Legal AI,Contract Analysis,Paid,201.47,168872,4.15,7.25,Yes,2025,26311,276.01
